Game_Name,game_released,game_rating,game_platform,game_genres,game_stores,game_tags_name
Grand Theft Auto V,2013-09-17,4.47,"['PC', 'PlayStation 4', 'PlayStation 3', 'Xbox 360', 'Xbox One']","['Action', 'Shooter']","['PlayStation Store', 'Xbox Store', 'Xbox 360 Store', 'Steam']","['Full controller support', 'Steam Achievements', 'Atmospheric', 'Comedy', 'Co-op', 'Crime', 'First-Person', 'Funny', 'Great Soundtrack', 'Mature', 'Moddable', 'Multiplayer', 'Open World', 'RPG', 'Sandbox', 'Singleplayer', 'Third Person', 'Third-Person Shooter', 'cooperative']"
Portal 2,2011-04-19,4.61,"['PlayStation 3', 'PC', 'Xbox 360', 'Linux', 'macOS']","['Shooter', 'Puzzle']","['Xbox 360 Store', 'PlayStation Store', 'Steam']","['Captions available', 'Commentary available', 'Full controller support', 'Includes level editor', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Steam Workshop', 'Comedy', 'Co-op', 'Female Protagonist', 'First-Person', 'FPS', 'Funny', 'Local Co-Op', 'Multiplayer', 'Online Co-Op', 'Science', 'Sci-fi', 'Singleplayer', 'Space', 'Story Rich', 'cooperative', 'steam-trading-cards', 'stats']"
The Witcher 3: Wild Hunt,2015-05-18,4.68,"['PC', 'Xbox One', 'Nintendo Switch', 'PlayStation 4']",['RPG'],"['GOG', 'Xbox Store', 'Steam', 'PlayStation Store']","['Full controller support', 'Action RPG', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Choices Matter', 'Dark', 'Dark Fantasy', 'Fantasy', 'Great Soundtrack', 'Magic', 'Mature', 'Medieval', 'Multiple Endings', 'Nudity', 'Open World', 'RPG', 'Sandbox', 'Singleplayer', 'Story Rich', 'Third Person', 'achievements', 'controller support', 'overlay', 'cloud saves', 'role-playing', 'steam-trading-cards']"
The Elder Scrolls V: Skyrim,2011-11-11,4.41,"['PC', 'PlayStation 3', 'Xbox 360', 'Nintendo Switch']","['Action', 'RPG']","['Xbox 360 Store', 'Nintendo Store', 'Steam', 'PlayStation Store']","['Action RPG', 'Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Steam Workshop', 'Character Customization', 'Dark Fantasy', 'Dragons', 'Fantasy', 'First-Person', 'Great Soundtrack', 'Lore-Rich', 'Magic', 'Medieval', 'Moddable', 'Open World', 'RPG', 'Sandbox', 'Singleplayer', 'Story Rich', 'Third Person', 'role-playing', 'steam-trading-cards']"
Left 4 Dead 2,2009-11-17,4.11,"['PC', 'Xbox 360']","['Action', 'Shooter']","['Xbox 360 Store', 'Steam']","['Captions available', 'Commentary available', 'Full controller support', 'Includes Source SDK', 'Steam Achievements', 'Steam Cloud', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Co-op', 'First-Person', 'FPS', 'Gore', 'Horror', 'Local Co-Op', 'Moddable', 'Multiplayer', 'Online Co-Op', 'Post-apocalyptic', 'Replay Value', 'Singleplayer', 'Survival', 'Survival Horror', 'Tactical', 'Team-Based', 'Zombies', 'cooperative', 'steam-trading-cards', 'stats']"
Borderlands 2,2012-09-18,4.05,"['PC', 'PlayStation 3', 'Xbox 360', 'PlayStation 4', 'macOS', 'Xbox One']","['Action', 'Shooter', 'RPG']","['PlayStation Store', 'Xbox Store', 'App Store', 'Xbox 360 Store', 'Steam', 'Google Play']","['Full controller support', 'Action RPG', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Comedy', 'Co-op', 'Dark Humor', 'FPS', 'Funny', 'Futuristic', 'Loot', 'Memes', 'Multiplayer', 'Online Co-Op', 'Open World', 'RPG', 'Sci-fi', 'Singleplayer', 'Stylized', 'cooperative', 'steam-trading-cards']"
BioShock Infinite,2013-03-26,4.37,"['PC', 'Linux', 'PlayStation 3', 'PlayStation 4', 'Xbox 360', 'Xbox One']","['Action', 'Shooter']","['App Store', 'Xbox 360 Store', 'Steam', 'PlayStation Store']","['Full controller support', 'Alternate History', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Controller', 'Dystopian', 'Fantasy', 'First-Person', 'FPS', 'Gore', 'Great Soundtrack', 'Linear', 'Political', 'RPG', 'Sci-fi', 'Singleplayer', 'Steampunk', 'Story Rich', 'Time Travel', 'steam-trading-cards']"
Portal,2007-10-09,4.51,"['macOS', 'Android', 'PC', 'Linux', 'PlayStation 3', 'Xbox 360']","['Action', 'Adventure', 'Puzzle']","['Google Play', 'Steam']","['Captions available', 'Commentary available', 'Includes level editor', 'Includes Source SDK', 'Partial Controller Support', 'Steam Achievements', 'Atmospheric', 'Classic', 'Comedy', 'Dark Humor', 'Female Protagonist', 'First-Person', 'FPS', 'Funny', 'Great Soundtrack', 'Physics', 'Science', 'Sci-fi', 'Short', 'Singleplayer', 'Story Rich']"
Life is Strange,2015-01-29,4.11,"['iOS', 'Android', 'Xbox 360', 'Linux', 'Xbox One', 'PlayStation 4', 'PC', 'macOS', 'PlayStation 3']",['Adventure'],"['App Store', 'Xbox 360 Store', 'Google Play', 'Xbox Store', 'Steam', 'PlayStation Store']","['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Choices Matter', 'Episodic', 'Female Protagonist', 'Great Soundtrack', 'Memes', 'Multiple Endings', 'Mystery', 'Point & Click', 'Short', 'Singleplayer', 'Story Rich', 'Third Person', 'Time Manipulation', 'Time Travel', 'Walking Simulator', 'steam-trading-cards', 'european']"
Counter-Strike: Global Offensive,2012-08-21,3.59,"['PC', 'Xbox 360', 'PlayStation 3']","['Action', 'Shooter']","['Xbox 360 Store', 'Steam', 'PlayStation Store']","['Full controller support', 'In-App Purchases', 'Steam Achievements', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Competitive', 'Co-op', 'e-sports', 'Fast-Paced', 'First-Person', 'FPS', 'Military', 'Moddable', 'Multiplayer', 'Online Co-Op', 'PvP', 'Realistic', 'Tactical', 'Team-Based', 'Trading', 'War', 'cooperative', 'steam-trading-cards', 'stats']"
Tomb Raider (2013),2013-03-05,4.07,"['PC', 'PlayStation 3', 'Xbox 360', 'PlayStation 4', 'Xbox One', 'macOS']","['Action', 'Adventure']","['App Store', 'Google Play', 'PlayStation Store', 'Steam', 'Xbox 360 Store']","['Full controller support', 'Action-Adventure', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Cinematic', 'Classic', 'Dinosaurs', 'Exploration', 'Female Protagonist', 'Lara Croft', 'Multiplayer', 'Quick-Time Events', 'Retro', 'RPG', 'Singleplayer', 'Stealth', 'Story Rich', 'Third Person', 'Third-Person Shooter', 'steam-trading-cards']"
Limbo,2010-07-21,4.15,"['PC', 'iOS', 'Linux', 'macOS', 'Android', 'Xbox One', 'Xbox 360', 'PlayStation 3', 'PlayStation 4', 'Nintendo Switch', 'PS Vita']","['Action', 'Adventure', 'Indie', 'Puzzle', 'Platformer']","['Epic Games', 'Google Play', 'Nintendo Store', 'Xbox 360 Store', 'GOG', 'Steam', 'Xbox Store', 'PlayStation Store', 'App Store']","['2D', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Cinematic', 'Controller', 'Dark', 'Difficult', 'Horror', 'Minimalist', 'Physics', 'Puzzle-Platformer', 'Short', 'Side Scroller', 'Singleplayer', 'Surreal', 'controller support', 'overlay']"
Half-Life 2,2004-11-16,4.49,"['Android', 'Linux', 'Xbox', 'macOS', 'PC', 'Xbox 360']","['Action', 'Shooter']","['Google Play', 'Steam']","['Captions available', 'Includes Source SDK', 'Aliens', 'Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Classic', 'Dystopian', 'First-Person', 'FPS', 'Great Soundtrack', 'Horror', 'Moddable', 'Multiplayer', 'Physics', 'Sci-fi', 'Silent Protagonist', 'Singleplayer', 'Story Rich', 'Zombies', 'steam-trading-cards']"
BioShock,2007-08-21,4.38,"['PC', 'PlayStation 4', 'PlayStation 3', 'macOS', 'iOS', 'Xbox 360']","['Action', 'Shooter']","['App Store', 'PlayStation Store', 'Xbox 360 Store', 'Steam']","['Action RPG', 'Alternate History', 'Partial Controller Support', 'Atmospheric', 'Classic', 'Dark', 'Dystopian', 'First-Person', 'FPS', 'Great Soundtrack', 'Horror', 'Political', 'RPG', 'Sci-fi', 'Singleplayer', 'Steampunk', 'Story Rich', 'Underwater']"
Team Fortress 2,2007-10-10,3.68,"['PC', 'Linux', 'macOS']","['Action', 'Shooter']",['Steam'],"['Cross-Platform Multiplayer', 'Captions available', 'Commentary available', 'In-App Purchases', 'Includes level editor', 'Partial Controller Support', 'Steam Achievements', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Cartoon', 'Cartoony', 'Class-Based', 'Comedy', 'Competitive', 'Co-op', 'Crafting', 'First-Person', 'FPS', 'Free to Play', 'Funny', 'Moddable', 'Multiplayer', 'Online Co-Op', 'Robots', 'Tactical', 'Team-Based', 'Trading', 'cooperative', 'steam-trading-cards', 'stats']"
PAYDAY 2,2013-08-13,3.5,"['PC', 'Linux', 'Xbox One']","['Action', 'Shooter']","['Xbox 360 Store', 'Nintendo Store', 'Steam', 'PlayStation Store']","['Full controller support', 'In-App Purchases', 'Steam Achievements', 'Co-op', 'Crime', 'First-Person', 'FPS', 'Funny', 'Great Soundtrack', 'Gun Customization', 'Heist', 'Multiplayer', 'Online Co-Op', 'PvE', 'Singleplayer', 'Stealth', 'Tactical', 'Team-Based', 'cooperative', 'steam-trading-cards']"
Fallout 4,2015-11-09,3.74,"['PC', 'Xbox One', 'PlayStation 4']","['Action', 'RPG']","['Steam', 'Xbox Store', 'PlayStation Store']","['Full controller support', 'Action RPG', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Exploration', 'First-Person', 'FPS', 'Great Soundtrack', 'Open World', 'Post-apocalyptic', 'RPG', 'Sandbox', 'Sci-fi', 'Singleplayer', 'Story Rich', 'Survival', 'Third Person', 'Third-Person Shooter']"
DOOM (2016),2016-05-13,4.39,"['PC', 'Nintendo Switch', 'PlayStation 4', 'Xbox One']","['Action', 'Shooter']","['Steam', 'Xbox Store', 'Nintendo Store', 'PlayStation Store']","['Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Blood', 'Classic', 'Co-op', 'Demons', 'Difficult', 'Fast-Paced', 'First-Person', 'FPS', 'Gore', 'Great Soundtrack', 'Horror', 'Memes', 'Multiplayer', 'Remake', 'Sci-fi', 'Singleplayer', 'Zombies', 'cooperative', 'steam-trading-cards']"
Grand Theft Auto IV,2008-04-29,4.23,"['PC', 'PlayStation 3', 'Xbox 360']","['Action', 'Adventure']","['PlayStation Store', 'Xbox 360 Store', 'Steam']","['Partial Controller Support', 'Atmospheric', 'Bowling', 'Classic', 'Co-op', 'Crime', 'Dark Humor', 'Funny', 'Gore', 'Moddable', 'Multiplayer', 'Open World', 'Physics', 'Sandbox', 'Satire', 'Singleplayer', 'Third Person', 'Third-Person Shooter', 'cooperative']"
Red Dead Redemption 2,2018-10-26,4.55,"['PC', 'Xbox One', 'PlayStation 4']","['Action', 'Adventure', 'RPG']","['Steam', 'Epic Games', 'PlayStation Store', 'Xbox Store']","['In-App Purchases', 'America', 'Partial Controller Support', 'Steam Achievements', 'Atmospheric', 'Blood', 'Cinematic', 'Co-op', 'Crime', 'Exploration', 'First-Person', 'FPS', 'Gore', 'Great Soundtrack', 'Hunting', 'Mature', 'Multiplayer', 'Online Co-Op', 'Open World', 'PvP', 'Realistic', 'Sandbox', 'Singleplayer', 'Story Rich', 'Third Person', 'Third-Person Shooter', 'Violent', 'Western', '3rd-Person Perspective', 'Beautiful', 'Masterpiece', '3rd-person', 'Online PvP']"
Dota 2,2013-07-09,3.11,"['Linux', 'PC', 'macOS']","['RPG', 'Massively Multiplayer']",['Steam'],"['In-App Purchases', 'Action RPG', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Character Customization', 'Competitive', 'Co-op', 'Difficult', 'e-sports', 'Fantasy', 'Free to Play', 'MOBA', 'Multiplayer', 'SteamVR Collectibles', 'Online Co-Op', 'PvP', 'Replay Value', 'RPG', 'RTS', 'Team-Based', 'Tower Defense', 'cooperative', 'steam-trading-cards']"
The Walking Dead: Season 1,2012-04-23,4.27,"['iOS', 'macOS', 'PC', 'Android', 'Nintendo Switch', 'PlayStation 3', 'Xbox One', 'PlayStation 4', 'PS Vita', 'Xbox 360']","['Action', 'Adventure']","['App Store', 'Epic Games', 'Google Play', 'PlayStation Store', 'GOG', 'Nintendo Store', 'Xbox Store', 'Xbox 360 Store', 'Steam']","['Full controller support', 'Steam Achievements', 'Atmospheric', 'Choices Matter', 'Choose Your Own Adventure', 'Comic Book', 'Drama', 'Episodic', 'Gore', 'Horror', 'Mature', 'Point & Click', 'Post-apocalyptic', 'Quick-Time Events', 'Singleplayer', 'Story Rich', 'Survival', 'Third Person', 'Visual Novel', 'Zombies', 'achievements', 'steam-trading-cards']"
God of War,2018-04-20,4.6,['PlayStation 4'],['Action'],['PlayStation Store'],"['Action-Adventure', 'Atmospheric', 'Blood', 'RPG', 'Singleplayer', '3rd-Person Perspective', 'exclusive', 'true exclusive']"
Rocket League,2015-07-07,4.03,"['Linux', 'macOS', 'PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Action', 'Sports', 'Racing', 'Indie']","['Nintendo Store', 'PlayStation Store', 'Steam', 'Xbox Store']","['Cross-Platform Multiplayer', 'Full controller support', '4 Player Local', 'Steam Achievements', 'Steam Cloud', 'Steam Workshop', 'Competitive', 'Co-op', 'Fast-Paced', 'Football', 'Funny', 'Great Soundtrack', 'Local Co-Op', 'Local Multiplayer', 'Multiplayer', 'Online Co-Op', 'Singleplayer', 'Soccer', 'Split Screen', 'Team-Based', 'cooperative', 'steam-trading-cards', 'stats']"
Half-Life 2: Lost Coast,2005-10-27,3.46,"['PC', 'Linux', 'macOS']",['Action'],['Steam'],"['Commentary available', 'Aliens', 'Atmospheric', 'Benchmark', 'Classic', 'Dystopian', 'First-Person', 'FPS', 'Free to Play', 'Futuristic', 'Great Soundtrack', 'Illuminati', 'Multiplayer', 'Sci-fi', 'Short', 'Silent Protagonist', 'Singleplayer']"
METAL GEAR SOLID V: THE PHANTOM PAIN,2015-09-01,4.17,"['PC', 'Xbox One', 'Xbox 360', 'PlayStation 3', 'PlayStation 4']","['Action', 'Shooter']","['PlayStation Store', 'Xbox Store', 'Xbox 360 Store', 'Steam']","['Captions available', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Atmospheric', 'Cinematic', 'Dark', 'Great Soundtrack', 'Heist', 'Horses', 'Multiplayer', 'Open World', 'Replay Value', 'Sandbox', 'Sci-fi', 'Singleplayer', 'Stealth', 'Story Rich', 'Tactical', 'Third Person', 'Third-Person Shooter', 'steam-trading-cards']"
Warframe,2013-03-25,3.48,"['PC', 'Nintendo Switch', 'Xbox One', 'PlayStation 4']","['Action', 'Shooter', 'Massively Multiplayer']","['PlayStation Store', 'Nintendo Store', 'Xbox Store', 'Steam']","['In-App Purchases', 'Partial Controller Support', 'Co-op', 'Cyberpunk', 'FPS', 'Free to Play', 'Futuristic', 'Hack and Slash', 'Multiplayer', 'Ninja', 'Online Co-Op', 'Parkour', 'PvE', 'RPG', 'Sci-fi', 'Singleplayer', 'Space', 'Third Person', 'Third-Person Shooter', 'cooperative', 'role-playing', 'steam-trading-cards', 'looter shooter']"
Metro 2033,2010-03-16,3.9,"['PC', 'Xbox 360']","['Action', 'Shooter']","['Xbox 360 Store', 'Steam']","['3D Vision', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Based On A Novel', 'Benchmark', 'Dark', 'First-Person', 'FPS', 'Great Soundtrack', 'Horror', 'Linear', 'Post-apocalyptic', 'Sci-fi', 'Singleplayer', 'Stealth', 'Story Rich', 'Survival', 'Survival Horror']"
Destiny 2,2017-09-06,3.67,"['PC', 'Xbox One', 'PlayStation 4']","['Action', 'Shooter', 'Massively Multiplayer']","['Steam', 'Xbox Store', 'PlayStation Store']","['Full controller support', 'Action-Adventure', 'Aliens', 'Atmospheric', 'Co-op', 'Exploration', 'First-Person', 'FPS', 'Free to Play', 'Futuristic', 'Great Soundtrack', 'Loot', 'Lore-Rich', 'MMORPG', 'Multiplayer', 'Online Co-Op', 'Open World', 'PvE', 'PvP', 'Sci-fi', 'Singleplayer', 'Space', 'Online multiplayer', 'cooperative', '3rd-Person Perspective', 'Masterpiece']"
Horizon Zero Dawn,2017-02-28,4.35,"['PC', 'PlayStation 4']","['Action', 'Adventure', 'RPG']","['Steam', 'PlayStation Store']","['Action RPG', 'Atmospheric', 'Cinematic', 'Drama', 'Experience', 'Exploration', 'Female Protagonist', 'Futuristic', 'Great Soundtrack', 'Lore-Rich', 'Open World', 'Post-apocalyptic', 'Robots', 'RPG', 'Sci-fi', 'Singleplayer', 'Stealth', 'Story Rich', 'Third Person', 'role-playing', '3rd-Person Perspective', '3rd-person', 'atmosphere', 'exclusive', 'true exclusive']"
The Witcher 2: Assassins of Kings Enhanced Edition,2012-04-16,4.22,"['PC', 'Xbox 360']",['RPG'],"['Xbox Store', 'GOG', 'Steam']","['Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Atmospheric', 'Based On A Novel', 'Choices Matter', 'Dark', 'Dark Fantasy', 'Difficult', 'Fantasy', 'Magic', 'Mature', 'Medieval', 'Multiple Endings', 'Nonlinear', 'Nudity', 'Open World', 'RPG', 'Singleplayer', 'Story Rich', 'Third Person', 'steam-trading-cards']"
Middle-earth: Shadow of Mordor,2014-09-30,3.91,"['Linux', 'PC', 'macOS', 'PlayStation 3', 'Xbox 360', 'PlayStation 4', 'Xbox One']","['Action', 'RPG']","['App Store', 'Xbox 360 Store', 'Xbox Store', 'PlayStation Store', 'Steam']","['Full controller support', 'Action RPG', 'Steam Achievements', 'Assassin', 'Steam Cloud', 'Atmospheric', 'Based On A Novel', 'Dark Fantasy', 'Fantasy', 'Gore', 'Hack and Slash', 'Lore-Rich', 'Magic', 'Open World', 'Parkour', 'RPG', 'Sandbox', 'Singleplayer', 'Stealth', 'Story Rich', 'Third Person', 'steam', 'category', 'steam-trading-cards', 'microtranzations']"
Half-Life 2: Episode One,2006-06-01,4.38,"['PC', 'macOS', 'Android', 'Xbox 360', 'Linux']","['Action', 'Shooter']","['Google Play', 'Steam']","['Captions available', 'Commentary available', 'Includes Source SDK', 'Aliens', 'Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Cinematic', 'Classic', 'Dystopian', 'Episodic', 'First-Person', 'FPS', 'Great Soundtrack', 'Moddable', 'Sci-fi', 'Short', 'Silent Protagonist', 'Singleplayer', 'Story Rich', 'Zombies', 'stats']"
Spec Ops: The Line,2012-06-26,4.07,"['PC', 'PlayStation 3', 'Xbox 360']","['Action', 'Shooter']","['GOG', 'Xbox 360 Store', 'Steam', 'PlayStation Store']","['Cross-Platform Multiplayer', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Steam Leaderboards', 'Based On A Novel', 'Co-op', 'Dark', 'Great Soundtrack', 'Horror', 'Mature', 'Military', 'Multiplayer', 'Political', 'Post-apocalyptic', 'Psychological', 'Singleplayer', 'Story Rich', 'Third Person', 'Third-Person Shooter', 'War', 'stats', 'european']"
Terraria,2011-05-15,3.98,"['Android', 'Nintendo Switch', 'Linux', 'macOS', 'iOS', 'Xbox 360', 'PS Vita', 'PlayStation 4', 'Xbox One', 'Wii U', 'Nintendo 3DS', 'PlayStation 3', 'PC']","['Action', 'Indie', 'Platformer']","['Google Play', 'App Store', 'Nintendo Store', 'GOG', 'Steam', 'Xbox Store', 'PlayStation Store']","['2D', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Building', 'Co-op', 'Crafting', 'Exploration', 'Family Friendly', 'Multiplayer', 'Online Co-Op', 'Open World', 'Pixel Graphics', 'Replay Value', 'RPG', 'Sandbox', 'Singleplayer', 'Survival', 'controller support', 'overlay', 'Online multiplayer', 'role-playing', 'steam-trading-cards']"
Half-Life 2: Episode Two,2007-10-09,4.43,"['PC', 'Android', 'macOS', 'Xbox 360', 'Linux']",['Shooter'],"['Google Play', 'Steam']","['Captions available', 'Commentary available', 'Includes Source SDK', 'Aliens', 'Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Classic', 'Dystopian', 'Episodic', 'First-Person', 'FPS', 'Great Soundtrack', 'Horror', 'Multiplayer', 'Post-apocalyptic', 'Sci-fi', 'Silent Protagonist', 'Singleplayer', 'Story Rich', 'Zombies', 'stats']"
HITMAN,2017-11-16,3.92,"['Linux', 'macOS', 'PC', 'Xbox One', 'PlayStation 4']","['Action', 'Shooter']","['Xbox Store', 'Steam', 'PlayStation Store']","['Full controller support', 'Steam Achievements', 'Assassin', 'Steam Cloud', 'Atmospheric', 'Crime', 'Episodic', 'Great Soundtrack', 'Heist', 'Illuminati', 'Nudity', 'Open World', 'Sandbox', 'Singleplayer', 'Stealth', 'Story Rich', 'Tactical', 'Third Person', 'Third-Person Shooter', 'steam-trading-cards']"
Amnesia: The Dark Descent,2010-09-07,3.62,"['PC', 'Linux', 'macOS']","['Action', 'Adventure', 'Indie']","['GOG', 'Steam']","['Captions available', 'Commentary available', 'Full controller support', 'Atmospheric', 'Classic', 'Dark', 'Exploration', 'First-Person', 'Gothic', 'Great Soundtrack', 'Horror', 'Lovecraftian', 'Moddable', 'Singleplayer', 'Stealth', 'Story Rich', 'Survival', 'Survival Horror']"
Half-Life 2: Deathmatch,2004-11-01,3.36,"['PC', 'macOS', 'Linux']",['Action'],['Steam'],"['Includes Source SDK', 'Atmospheric', 'Valve Anti-Cheat enabled', 'Competitive', 'Co-op', 'First-Person', 'FPS', 'Free to Play', 'Funny', 'Multiplayer', 'Physics', 'Sci-fi', 'cooperative']"
Rise of the Tomb Raider,2015-11-10,4.02,"['PC', 'Xbox One', 'PlayStation 4', 'macOS']","['Action', 'Platformer']","['App Store', 'Xbox 360 Store', 'Steam', 'Xbox Store']","['Full controller support', 'Action-Adventure', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Steam Leaderboards', 'Exploration', 'Female Protagonist', 'Great Soundtrack', 'Lara Croft', 'Open World', 'Parkour', 'Quick-Time Events', 'RPG', 'Singleplayer', 'Stealth', 'Story Rich', 'Survival', 'Third Person', 'Third-Person Shooter', 'steam-trading-cards']"
BioShock 2,2010-02-09,4.04,"['PC', 'PlayStation 4', 'PlayStation 3', 'Xbox 360', 'macOS']","['Action', 'Shooter']","['App Store', 'Xbox 360 Store', 'PlayStation Store', 'Steam']","['Full controller support', 'Action RPG', 'Steam Achievements', 'Atmospheric', 'Dark', 'Dystopian', 'First-Person', 'FPS', 'Great Soundtrack', 'Horror', 'Linear', 'Multiplayer', 'Philisophical', 'RPG', 'Sci-fi', 'Singleplayer', 'Steampunk', 'Story Rich', 'Underwater']"
Batman: Arkham Knight,2015-06-23,4.21,"['PC', 'Xbox One', 'PlayStation 4']",['Action'],"['Epic Games', 'PlayStation Store', 'Steam', 'Xbox Store']","['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Steam Leaderboards', 'Batman', ""Beat 'em up"", 'Comic Book', 'Dark', 'Detective', 'Horror', 'Mature', 'Open World', 'Sandbox', 'Singleplayer', 'Stealth', 'Story Rich', 'Superhero', 'Third Person', 'steam-trading-cards']"
Hotline Miami,2012-10-22,4.32,"['Nintendo Switch', 'Linux', 'PC', 'PS Vita', 'PlayStation 4', 'Xbox One']","['Action', 'Shooter', 'Arcade', 'Indie']","['Google Play', 'Steam', 'PlayStation Store', 'GOG']","['1980s', '2D', 'Partial Controller Support', 'Steam Achievements', 'Atmospheric', 'Difficult', 'Fast-Paced', 'Gore', 'Great Soundtrack', 'Music', 'Pixel Graphics', 'Psychedelic', 'Retro', 'Singleplayer', 'Surreal', 'Top-Down', 'Top-Down Shooter', 'Violent', 'controller support', 'overlay', 'steam-trading-cards']"
Mirror's Edge,2008-11-11,4.08,"['PC', 'PlayStation 3', 'Xbox 360']","['Action', 'Platformer']","['PlayStation Store', 'Xbox 360 Store', 'GOG', 'Steam']","['Full controller support', 'Partial Controller Support', 'Atmospheric', 'Classic', 'Colorful', 'Dystopian', 'Female Protagonist', 'First-Person', 'Futuristic', 'Great Soundtrack', 'Parkour', 'Sci-fi', 'Short', 'Singleplayer', 'Stylized', 'Time Attack', 'european']"
Super Meat Boy,2010-10-20,3.97,"['PC', 'Linux', 'Android', 'macOS', 'Xbox 360', 'Web', 'Wii U', 'PlayStation 4', 'PS Vita', 'Nintendo Switch']","['Action', 'Indie', 'Platformer']","['Epic Games', 'Google Play', 'Nintendo Store', 'Xbox 360 Store', 'Steam', 'PlayStation Store']","['2D', 'Full controller support', 'Steam Achievements', 'Steam Leaderboards', 'Comedy', 'Controller', 'Difficult', 'Fast-Paced', 'Funny', 'Gore', 'Great Soundtrack', 'Level Editor', 'Pixel Graphics', 'Replay Value', 'Retro', 'Side Scroller', 'Singleplayer', 'Time Attack', 'steam-trading-cards']"
Uncharted 4: A Thief’s End,2016-05-10,4.52,['PlayStation 4'],"['Action', 'Shooter', 'Adventure']",['PlayStation Store'],"['Action-Adventure', 'Atmospheric', 'RPG', '3rd-Person Perspective', 'exclusive', 'true exclusive']"
Sid Meier's Civilization V,2010-09-21,4.31,"['Linux', 'macOS', 'PC']",['Strategy'],"['App Store', 'Steam']","['4X', 'Steam Achievements', 'Steam Cloud', 'Classic', 'Co-op', 'Diplomacy', 'Economy', 'Education', 'Grand Strategy', 'Great Soundtrack', 'Hex Grid', 'Historical', 'Moddable', 'Multiplayer', 'Replay Value', 'Singleplayer', 'Tactical', 'Touch-Friendly', 'Turn-Based', 'Turn-Based Strategy', 'cooperative', 'steam-trading-cards']"
Outlast,2013-09-03,3.62,"['Linux', 'PC', 'macOS', 'Nintendo Switch', 'Xbox One', 'PlayStation 4']","['Action', 'Adventure', 'Indie']","['Steam', 'GOG', 'Xbox Store', 'PlayStation Store']","['Captions available', 'Full controller support', '3D Vision', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Dark', 'Difficult', 'First-Person', 'FPS', 'Gore', 'Horror', 'Nudity', 'Parkour', 'Sci-fi', 'Singleplayer', 'Stealth', 'Survival', 'Survival Horror', 'Walking Simulator', 'controller support', 'steam-trading-cards']"
Saints Row: The Third,2011-11-14,3.92,"['PC', 'Linux', 'PlayStation 3', 'Xbox 360']","['Action', 'Shooter']","['Xbox 360 Store', 'Steam', 'PlayStation Store']","['Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Character Customization', 'Comedy', 'Co-op', 'Crime', 'Female Protagonist', 'Funny', 'Great Soundtrack', 'Multiplayer', 'Online Co-Op', 'Open World', 'RPG', 'Sandbox', 'Satire', 'Singleplayer', 'Third Person', 'Third-Person Shooter', 'Zombies', 'cooperative', 'steam-trading-cards']"
The Witcher: Enhanced Edition Director's Cut,2008-09-16,4.08,"['PC', 'macOS']","['Action', 'RPG']","['Steam', 'GOG']","['Action RPG', 'Steam Cloud', 'Atmospheric', 'Based On A Novel', 'Choices Matter', 'Classic', 'Dark Fantasy', 'Fantasy', 'Great Soundtrack', 'Magic', 'Mature', 'Medieval', 'Multiple Endings', 'Nudity', 'Open World', 'RPG', 'Singleplayer', 'Story Rich', 'Third Person']"
